name,position,height,weight,team_id,uniform_number
東 克樹,投手,170,80,3,11
竹田 祐,投手,184,96,3,12
伊勢 大夢,投手,183,94,3,13
石田 健大,投手,180,85,3,14
徳山 壮磨,投手,183,87,3,15
大貫 晋一,投手,181,76,3,16
三嶋 一輝,投手,175,80,3,17
小園 健太,投手,185,90,3,18
山﨑 康晃,投手,179,88,3,19
坂本 裕哉,投手,180,87,3,20
入江 大生,投手,187,90,3,22
吉野 光樹,投手,176,80,3,24
藤浪 晋太郎,投手,197,98,3,27
篠木 健太郎,投手,177,80,3,30
松本 凌人,投手,185,92,3,34
橋本 達弥,投手,181,84,3,35
森下 瑠大,投手,180,75,3,36
森 唯斗,投手,175,91,3,38
若松 尚輝,投手,184,93,3,39
松本 隆之介,投手,188,94,3,40
佐々木 千隼,投手,181,83,3,41
ジャクソン,投手,190,95,3,42
森原 康平,投手,185,88,3,45
坂口 翔颯,投手,180,80,3,46
京山 将弥,投手,183,80,3,48
浜地 真澄,投手,185,88,3,52
颯,投手,184,80,3,53
石田 裕太郎,投手,180,74,3,54
平良 拳太郎,投手,180,80,3,59
ウィック,投手,190,106,3,62
中川 虎大,投手,178,85,3,64
宮城 滝太,投手,181,80,3,65
岩田 将貴,投手,178,81,3,68
ケイ,投手,183,102,3,69
庄司 陽斗,投手,184,93,3,91
堀岡 隼人,投手,183,87,3,92
バウアー,投手,185,92,3,96
マルセリーノ,投手,191,82,3,98
松尾 汐恩,捕手,178,82,3,5
戸柱 恭孝,捕手,179,90,3,10
伊藤 光,捕手,180,88,3,29
益子 京右,捕手,176,95,3,32
山本 祐大,捕手,180,87,3,50
東妻 純平,捕手,174,83,3,57
九鬼 隆平,捕手,180,85,3,95
林 琢真,内野手,171,80,3,00
牧 秀悟,内野手,178,97,3,2
オースティン,内野手,188,100,3,3
森 敬斗,内野手,177,80,3,6
京田 陽太,内野手,184,90,3,9
三森 大貴,内野手,186,76,3,26
柴田 竜拓,内野手,167,68,3,31
加藤 響,内野手,180,85,3,37
石上 泰輝,内野手,172,85,3,44
宮﨑 敏郎,内野手,172,85,3,51
井上 絢登,内野手,178,90,3,55
田内 真翔,内野手,177,79,3,56
知野 直人,内野手,182,85,3,60
ビシエド,内野手,185,108,3,66
フォード,内野手,183,102,3,99
桑原 将志,外野手,174,80,3,1
度会 隆輝,外野手,183,83,3,4
佐野 恵太,外野手,178,88,3,7
神里 和毅,外野手,179,86,3,8
筒香 嘉智,外野手,185,97,3,25
勝又 温史,外野手,180,90,3,28
武田 陸玖,外野手,173,78,3,33
梶原 昂希,外野手,189,90,3,58
蝦名 達夫,外野手,185,88,3,61
関根 大気,外野手,173,78,3,63
深沢 鳳介,投手,177,80,3,043
草野 陽斗,投手,175,87,3,101
清水 麻成,投手,187,84,3,102
金渕 光希,投手,183,87,3,103
今野 瑠斗,投手,182,93,3,108
吉岡 暖,投手,182,88,3,111
笠谷 俊介,投手,173,74,3,199
上甲 凌大,捕手,184,90,3,127
近藤 大雅,捕手,174,87,3,130
蓮,内野手,183,92,3,100
小笠原 蒼,内野手,180,96,3,125
西巻 賢二,内野手,167,70,3,129
粟飯原 龍之介,内野手,180,85,3,133
高見澤 郁魅,内野手,183,85,3,193
小針 大輝,外野手,191,94,3,155
