name,position,height,weight,team_id,uniform_number
エスピノーザ,投手,183,86,11,00
山下 舜平大,投手,190,100,11,11
東 晃平,投手,178,90,11,12
寺西 成騎,投手,186,85,11,13
宇田川 優希,投手,184,92,11,14
椋木 蓮,投手,179,86,11,15
平野 佳寿,投手,186,88,11,16
曽谷 龍平,投手,183,83,11,17
宮城 大弥,投手,171,85,11,18
山岡 泰輔,投手,172,68,11,19
阿部 翔太,投手,178,80,11,20
山﨑 颯一郎,投手,190,98,11,21
九里 亜蓮,投手,188,98,11,22
吉田 輝星,投手,175,83,11,23
齋藤 響介,投手,177,72,11,26
富山 凌雅,投手,178,88,11,28
田嶋 大樹,投手,182,82,11,29
古田島 成龍,投手,175,85,11,35
岩嵜 翔,投手,189,90,11,40
マチャド,投手,185,105,11,42
東山 玲士,投手,180,83,11,45
本田 仁海,投手,181,74,11,46
山口 廉王,投手,193,97,11,47
東松 快征,投手,179,86,11,48
片山 楽生,投手,177,81,11,49
横山 楓,投手,181,91,11,52
小木田 敦也,投手,173,83,11,56
山田 修義,投手,185,95,11,57
井口 和朋,投手,175,75,11,58
ペルドモ,投手,188,84,11,59
本田 圭佑,投手,180,80,11,60
博志,投手,182,95,11,66
入山 海斗,投手,177,78,11,68
佐藤 一磨,投手,190,97,11,93
川瀬 堅斗,投手,183,93,11,94
才木 海翔,投手,182,85,11,95
髙島 泰都,投手,181,88,11,96
権田 琉成,投手,180,88,11,98
若月 健矢,捕手,180,88,11,2
森 友哉,捕手,170,85,11,4
福永 奨,捕手,175,87,11,32
石川 亮,捕手,181,87,11,37
頓宮 裕真,捕手,182,103,11,44
山中 稜真,捕手,178,83,11,50
堀 柊那,捕手,179,82,11,62
西野 真弘,内野手,167,71,11,5
宗 佑磨,内野手,181,83,11,6
野口 智哉,内野手,181,95,11,9
大城 滉二,内野手,175,80,11,10
紅林 弘太郎,内野手,187,94,11,24
内藤 鵬,内野手,180,103,11,25
廣岡 大志,内野手,185,92,11,30
太田 椋,内野手,181,84,11,31
横山 聖哉,内野手,181,86,11,34
ディアス,内野手,178,95,11,54
大里 昂生,内野手,178,76,11,64
中川 圭太,内野手,180,76,11,67
渡部 遼人,外野手,171,72,11,0
西川 龍馬,外野手,177,84,11,7
麦谷 祐介,外野手,180,81,11,8
元 謙太,外野手,186,88,11,27
杉澤 龍,外野手,175,80,11,33
オリバレス,外野手,185,88,11,36
来田 涼斗,外野手,182,93,11,38
池田 陵真,外野手,171,83,11,39
佐野 皓大,外野手,182,80,11,41
茶野 篤政,外野手,175,80,11,61
福田 周平,外野手,167,65,11,65
杉本 裕太郎,外野手,190,104,11,99
陳 睦衡,投手,181,84,11,017
寿賀 弘都,投手,180,85,11,041
大江 海透,投手,180,95,11,042
宮國 凌空,投手,176,86,11,043
芦田 丈飛,投手,185,95,11,044
上原 堆我,投手,178,84,11,053
乾 健斗,投手,188,88,11,056
村西 良太,投手,174,76,11,122
前 佑囲斗,投手,182,90,11,128
小野 泰己,投手,184,83,11,130
河内 康介,投手,180,76,11,135
村上 喬一朗,捕手,168,82,11,034
田島 光祐,捕手,174,80,11,055
河野 聡太,内野手,180,82,11,045
今坂 幸暉,内野手,178,83,11,051
清水 武蔵,内野手,173,78,11,052
遠藤 成,内野手,178,84,11,124
デール,内野手,188,90,11,125
香月 一也,内野手,176,83,11,126
宜保 翔,内野手,175,75,11,153
寺本 聖一,外野手,170,86,11,054
