name,position,height,weight,team_id,uniform_number
大道 温貴,投手,180,91,4,12
森浦 大輔,投手,175,78,4,13
大瀬良 大地,投手,188,94,4,14
森 翔平,投手,177,86,4,16
常廣 羽也斗,投手,180,79,4,17
森下 暢仁,投手,181,81,4,18
床田 寛樹,投手,181,97,4,19
栗林 良吏,投手,177,88,4,20
中﨑 翔太,投手,187,100,4,21
髙 太一,投手,179,89,4,22
黒原 拓未,投手,173,82,4,24
益田 武尚,投手,174,86,4,26
佐藤 柳之介,投手,179,87,4,28
ケムナ 誠,投手,190,96,4,29
滝田 一希,投手,183,84,4,30
高橋 昂也,投手,182,95,4,34
赤塚 健利,投手,195,118,4,35
塹江 敦哉,投手,178,91,4,36
長谷部 銀次,投手,184,88,4,39
鈴木 健矢,投手,176,80,4,41
ドミンゲス,投手,193,86,4,42
島内 颯太郎,投手,180,86,4,43
松本 竜也,投手,178,100,4,45
河野 佳,投手,175,86,4,46
斉藤 優汰,投手,189,96,4,47
アドゥワ 誠,投手,196,80,4,48
岡本 駿,投手,186,82,4,53
玉村 昇悟,投手,179,86,4,65
遠藤 淳志,投手,186,90,4,66
菊地 ハルン,投手,200,115,4,67
ハーン,投手,198,117,4,68
日髙 暖己,投手,183,75,4,70
辻 大雅,投手,182,84,4,98
會澤 翼,捕手,175,95,4,27
坂倉 将吾,捕手,177,91,4,31
石原 貴規,捕手,173,90,4,32
磯村 嘉孝,捕手,178,92,4,40
持丸 泰輝,捕手,177,91,4,57
清水 叶人,捕手,176,91,4,62
髙木 翔斗,捕手,187,96,4,64
羽月 隆太郎,内野手,168,73,4,00
上本 崇司,内野手,170,76,4,0
田中 広輔,内野手,171,85,4,2
矢野 雅哉,内野手,171,72,4,4
小園 海斗,内野手,178,91,4,5
堂林 翔太,内野手,184,96,4,7
佐々木 泰,内野手,178,84,4,10
菊池 涼介,内野手,171,71,4,33
林 晃汰,内野手,181,98,4,44
渡邉 悠斗,内野手,182,103,4,49
韮澤 雄也,内野手,175,85,4,54
仲田 侑仁,内野手,187,107,4,58
内田 湘大,内野手,183,97,4,63
山足 達也,内野手,174,76,4,69
前川 誠太,内野手,176,69,4,93
佐藤 啓介,内野手,182,90,4,94
モンテロ,内野手,190,106,4,95
二俣 翔一,内野手,180,78,4,99
秋山 翔吾,外野手,184,86,4,9
野間 峻祥,外野手,182,86,4,37
宇草 孔基,外野手,185,84,4,38
中村 健人,外野手,183,96,4,50
末包 昇大,外野手,188,107,4,52
松山 竜平,外野手,176,96,4,55
久保 修,外野手,181,89,4,56
大盛 穂,外野手,179,84,4,59
田村 俊介,外野手,178,97,4,60
ファビアン,外野手,180,81,4,61
中村 奨成,外野手,181,86,4,96
中村 貴浩,外野手,177,87,4,97
杉田 健,投手,188,84,4,120
小船 翼,投手,198,116,4,123
竹下 海斗,投手,180,76,4,126
杉原 望来,投手,175,78,4,128
小林 樹斗,投手,182,92,4,129
安竹 俊喜,捕手,178,85,4,122
ラミレス,内野手,191,124,4,130
名原 典彦,外野手,182,80,4,121
ロベルト,外野手,191,104,4,131
