name,position,height,weight,team_id,uniform_number
岸 孝之,投手,180,77,10,11
則本 昂大,投手,178,82,10,14
ハワード,投手,190,95,10,15
古謝 樹,投手,182,75,10,17
荘司 康誠,投手,189,86,10,19
早川 隆久,投手,180,76,10,21
小孫 竜二,投手,180,88,10,22
中込 陽翔,投手,175,85,10,26
酒居 知史,投手,178,80,10,28
德山 一翔,投手,177,87,10,29
渡辺 翔太,投手,182,90,10,31
弓削 隼人,投手,193,105,10,38
江原 雅裕,投手,186,93,10,40
加治屋 蓮,投手,185,90,10,41
宋 家豪,投手,185,92,10,43
松井 友飛,投手,190,87,10,45
藤平 尚真,投手,185,85,10,46
藤井 聖,投手,176,80,10,47
西垣 雅矢,投手,184,88,10,49
津留﨑 大成,投手,177,86,10,52
坂井 陽翔,投手,186,88,10,53
日當 直喜,投手,190,105,10,54
鈴木 翔天,投手,185,82,10,56
瀧中 瞭太,投手,180,93,10,57
辛島 航,投手,173,72,10,58
泰 勝利,投手,172,82,10,59
松田 啄磨,投手,186,74,10,61
西口 直人,投手,183,83,10,62
林 優樹,投手,173,73,10,64
今野 龍太,投手,178,86,10,66
大内 誠弥,投手,191,77,10,67
内 星龍,投手,190,88,10,69
柴田 大地,投手,180,94,10,71
宮森 智志,投手,193,93,10,72
ヤフーレ,投手,185,97,10,89
太田 光,捕手,178,76,10,2
田中 貴也,捕手,178,85,10,44
安田 悠馬,捕手,185,105,10,55
堀内 謙伍,捕手,174,82,10,65
石原 彪,捕手,172,96,10,70
小深田 大翔,内野手,168,69,10,0
宗山 塁,内野手,175,79,10,1
浅村 栄斗,内野手,182,90,10,3
阿部 寿樹,内野手,185,85,10,4
村林 一輝,内野手,180,73,10,6
鈴木 大地,内野手,175,79,10,7
ボイト,内野手,188,117,10,9
フランコ,内野手,185,105,10,23
黒川 史陽,内野手,182,86,10,24
山﨑 剛,内野手,173,74,10,34
伊藤 裕季也,内野手,181,95,10,39
山田 遥楓,内野手,180,84,10,42
渡邊 佳明,内野手,180,79,10,48
ワォーターズ 璃海ジュミル,内野手,178,76,10,60
入江 大樹,内野手,185,83,10,63
青野 拓海,内野手,180,85,10,68
小森 航大郎,内野手,173,83,10,73
陽 柏翔,内野手,174,75,10,75
辰見 鴻之介,内野手,176,67,10,82
辰己 涼介,外野手,180,74,10,8
ゴンザレス,外野手,196,108,10,12
田中 和基,外野手,181,75,10,25
岡島 豪郎,外野手,176,82,10,27
中島 大輔,外野手,180,78,10,32
島内 宏明,外野手,180,75,10,35
吉納 翼,外野手,180,89,10,36
武藤 敦貴,外野手,178,73,10,50
小郷 裕哉,外野手,178,85,10,51
吉野 創士,外野手,186,78,10,78
前田 銀治,外野手,182,98,10,79
王 彦程,投手,180,82,10,017
古賀 康誠,投手,181,81,10,130
蕭 齊,投手,197,98,10,197
水上 桂,捕手,172,75,10,022
江川 侑斗,捕手,177,81,10,137
平良 竜哉,内野手,170,78,10,030
永田 颯太郎,内野手,178,85,10,131
岸本 佑也,内野手,180,74,10,132
