name,position,height,weight,team_id,uniform_number
スチュワート・ジュニア,投手,198,101,7,2
上沢 直之,投手,185,88,7,10
津森 宥紀,投手,176,87,7,11
濵口 遥大,投手,173,80,7,13
又吉 克樹,投手,179,76,7,14
東浜 巨,投手,183,84,7,16
有原 航平,投手,190,100,7,17
武田 翔太,投手,187,90,7,18
村上 泰斗,投手,178,70,7,20
大津 亮介,投手,175,65,7,26
岩井 俊介,投手,182,90,7,27
安德 駿,投手,177,82,7,28
大江 竜聖,投手,173,82,7,29
村田 賢一,投手,179,88,7,34
モイネロ,投手,178,69,7,35
尾形 崇斗,投手,182,88,7,39
杉山 一樹,投手,192,107,7,40
前田 悠伍,投手,179,80,7,41
伊藤 優輔,投手,178,82,7,42
大関 友久,投手,185,85,7,47
藤井 皓哉,投手,183,86,7,48
松本 晴,投手,181,87,7,49
板東 湧梧,投手,182,78,7,50
前田 純,投手,189,88,7,51
大山 凌,投手,179,80,7,53
オスナ,投手,188,104,7,54
田浦 文丸,投手,168,78,7,56
木村 大成,投手,180,82,7,58
長谷川 威展,投手,179,86,7,59
大野 稼頭央,投手,176,70,7,60
ヘルナンデス,投手,188,115,7,63
上茶谷 大河,投手,182,83,7,64
松本 裕樹,投手,183,92,7,66
木村 光,投手,173,73,7,68
岩崎 峻典,投手,177,80,7,69
宮﨑 颯,投手,180,93,7,85
川口 冬弥,投手,187,88,7,95
渡邉 陸,捕手,187,90,7,00
嶺井 博希,捕手,176,86,7,12
牧原 巧汰,捕手,176,84,7,22
谷川原 健太,捕手,174,87,7,45
石塚 綜一郎,捕手,181,91,7,55
海野 隆司,捕手,174,84,7,62
藤田 悠太郎,捕手,170,73,7,65
川瀬 晃,内野手,176,71,7,0
ダウンズ,内野手,178,89,7,4
山川 穂高,内野手,177,114,7,5
今宮 健太,内野手,172,76,7,6
牧原 大成,内野手,172,72,7,8
周東 佑京,内野手,180,71,7,23
栗原 陵矢,内野手,179,83,7,24
庄子 雄大,内野手,177,75,7,25
廣瀨 隆太,内野手,181,87,7,33
イヒネ イツア,内野手,184,83,7,36
井上 朋也,内野手,182,89,7,43
宇野 真仁朗,内野手,177,81,7,46
秋広 優人,内野手,200,100,7,52
石見 颯真,内野手,176,74,7,67
野村 勇,内野手,174,82,7,99
近藤 健介,外野手,173,85,7,3
中村 晃,外野手,175,81,7,7
柳田 悠岐,外野手,187,90,7,9
佐藤 直樹,外野手,178,85,7,30
正木 智也,外野手,182,91,7,31
柳町 達,外野手,180,78,7,32
笹川 吉康,外野手,194,97,7,44
緒方 理貢,外野手,175,69,7,57
川村 友斗,外野手,181,88,7,61
山本 恵大,外野手,183,86,7,77
宮里 優吾,投手,181,87,7,126
河野 伸一朗,投手,190,74,7,128
星野 恒太朗,投手,179,85,7,133
大城 真乃,投手,170,73,7,134
アルメンタ,投手,185,79,7,135
大竹 風雅,投手,186,89,7,136
津嘉山 憲志郎,投手,178,93,7,137
相原 雄太,投手,191,96,7,138
井﨑 燦志郎,投手,188,87,7,139
岡田 皓一朗,投手,187,95,7,140
澤柳 亮太郎,投手,179,86,7,141
藤原 大翔,投手,177,69,7,142
ハモンド,投手,191,85,7,145
藤田 淳平,投手,182,95,7,146
山崎 琢磨,投手,185,90,7,148
熊谷 太雅,投手,184,72,7,149
塩士 暖,投手,185,74,7,152
張 峻ウェイ,投手,179,82,7,153
風間 球打,投手,184,96,7,155
ロドリゲス,投手,182,90,7,156
田上 奏大,投手,186,90,7,157
赤羽 蓮,投手,188,88,7,158
長水 啓眞,投手,179,69,7,160
内野 海斗,投手,187,91,7,161
岡植 純平,投手,177,82,7,162
佐々木 明都,投手,182,81,7,163
水口 創太,投手,195,102,7,164
飛田 悠成,投手,185,90,7,169
サルディ,投手,186,81,7,176
大友 宗,捕手,181,85,7,125
加藤 晴空,捕手,175,78,7,151
盛島 稜大,捕手,187,107,7,171
ザイレン,内野手,178,82,7,121
藤野 恵音,内野手,181,78,7,122
桑原 秀侍,内野手,176,81,7,124
広瀬 結煌,内野手,180,71,7,127
佐倉 侠史朗,内野手,184,104,7,129
勝連 大稀,内野手,175,68,7,130
中澤 恒貴,内野手,180,84,7,131
山下 恭吾,内野手,175,78,7,159
川原田 純平,内野手,168,70,7,167
西尾 歩真,内野手,167,70,7,170
アルモンテ,内野手,185,82,7,175
大泉 周也,外野手,173,87,7,123
漁府 輝羽,外野手,183,93,7,143
シモン,外野手,185,79,7,144
木下 勇人,外野手,179,66,7,147
生海,外野手,183,101,7,154
重松 凱人,外野手,187,98,7,166
佐藤 航太,外野手,184,73,7,168
オスーナ,外野手,185,82,7,173
