name,position,height,weight,team_id,uniform_number
岡田 俊哉,投手,178,69,6,11
橋本 侑樹,投手,180,80,6,13
草加 勝,投手,182,77,6,14
柳 裕也,投手,180,85,6,17
梅津 晃大,投手,189,100,6,18
髙橋 宏斗,投手,186,86,6,19
涌井 秀章,投手,185,85,6,20
金丸 夢斗,投手,177,77,6,21
大野 雄大,投手,184,85,6,22
仲地 礼亜,投手,177,83,6,26
森 博人,投手,177,84,6,28
松木平 優太,投手,180,85,6,29
根尾 昂,投手,177,85,6,30
伊藤 茉央,投手,176,83,6,32
祖父江 大輔,投手,175,75,6,33
福 敬登,投手,181,98,6,34
福田 幸之介,投手,182,86,6,36
松葉 貴大,投手,179,82,6,38
勝野 昌慶,投手,183,95,6,41
梅野 雄吾,投手,177,86,6,46
吉田 聖弥,投手,176,80,6,47
土生 翔太,投手,180,93,6,48
清水 達也,投手,185,95,6,50
マルテ,投手,188,98,6,52
藤嶋 健人,投手,177,90,6,54
齋藤 綱記,投手,182,92,6,59
高橋 幸佑,投手,177,82,6,61
有馬 惠叶,投手,190,78,6,64
三浦 瑞樹,投手,174,79,6,69
近藤 廉,投手,180,93,6,70
松山 晋也,投手,188,92,6,90
メヒア,投手,193,104,6,91
マラー,投手,201,118,6,93
ウォルターズ,投手,195,102,6,94
石伊 雄太,捕手,178,84,6,9
木下 拓哉,捕手,183,95,6,35
宇佐見 真吾,捕手,181,95,6,39
味谷 大誠,捕手,180,85,6,43
加藤 匠馬,捕手,175,85,6,49
山浅 龍之介,捕手,175,82,6,57
石橋 康太,捕手,181,95,6,58
辻本 倫太郎,内野手,168,73,6,0
田中 幹也,内野手,166,68,6,2
高橋 周平,内野手,180,90,6,3
カリステ,内野手,184,87,6,4
村松 開人,内野手,172,80,6,5
中田 翔,内野手,184,107,6,6
福永 裕基,内野手,180,87,6,7
チェイビス,内野手,178,96,6,23
石川 昂弥,内野手,186,100,6,25
津田 啓史,内野手,181,88,6,27
森 駿太,内野手,188,93,6,31
土田 龍空,内野手,180,80,6,45
山本 泰寛,内野手,176,76,6,60
板山 祐太郎,内野手,180,88,6,63
佐藤 龍世,内野手,174,85,6,65
ロドリゲス,内野手,184,74,6,95
樋口 正修,内野手,177,76,6,97
尾田 剛樹,外野手,175,75,6,00
岡林 勇希,外野手,175,75,6,1
大島 洋平,外野手,176,75,6,8
ボスラー,外野手,186,98,6,24
濱 将乃介,外野手,181,83,6,37
ブライト 健太,外野手,184,92,6,42
川越 誠司,外野手,174,80,6,44
上林 誠知,外野手,185,90,6,51
駿太,外野手,180,85,6,53
細川 成也,外野手,179,98,6,55
鵜飼 航丞,外野手,183,100,6,66
井上 剣也,投手,178,80,6,203
石川 翔,投手,180,89,6,208
野中 天翔,投手,182,87,6,212
森山 暁生,投手,183,90,6,213
菊田 翔友,投手,182,88,6,216
マルティネス,投手,177,72,6,219
日渡 騰輝,捕手,173,89,6,215
中村 奈一輝,内野手,183,73,6,202
星野 真生,内野手,176,82,6,207
川上 理偉,内野手,178,85,6,218
加藤 竜馬,外野手,185,102,6,201
福元 悠真,外野手,180,85,6,209
モニエル,外野手,190,106,6,220
