name,position,height,weight,team_id,uniform_number
矢澤 宏太,投手,173,72,8,12
生田目 翼,投手,176,95,8,13
加藤 貴之,投手,182,93,8,14
北山 亘基,投手,182,86,8,15
達 孝太,投手,194,101,8,16
伊藤 大海,投手,176,84,8,17
山﨑 福也,投手,188,99,8,18
玉井 大翔,投手,178,78,8,19
上原 健太,投手,191,100,8,20
杉浦 稔大,投手,190,90,8,22
金村 尚真,投手,176,88,8,24
宮西 尚生,投手,180,81,8,25
田中 正義,投手,188,96,8,26
河野 竜生,投手,175,88,8,28
細野 晴希,投手,180,87,8,29
柴田 獅子,投手,187,87,8,31
藤田 琉生,投手,198,96,8,32
堀 瑞輝,投手,177,89,8,34
浅利 太門,投手,186,88,8,35
古林 睿煬,投手,184,81,8,37
福田 俊,投手,171,73,8,40
福谷 浩司,投手,183,93,8,41
ザバラ,投手,190,117,8,42
バーヘイゲン,投手,198,104,8,45
畔柳 亨丞,投手,178,87,8,46
齋藤 友貴哉,投手,184,92,8,48
石川 直也,投手,192,93,8,51
池田 隆英,投手,181,87,8,52
松浦 慶斗,投手,186,103,8,55
根本 悠楓,投手,173,80,8,59
清水 大暉,投手,192,95,8,62
山城 航太郎,投手,183,84,8,63
山本 拓実,投手,167,79,8,67
松岡 洸希,投手,180,84,8,93
福島 蓮,投手,190,78,8,94
柳川 大晟,投手,191,93,8,95
孫 易磊,投手,183,93,8,96
宮内 春輝,投手,176,79,8,97
マルティネス,捕手,190,112,8,2
清水 優心,捕手,185,91,8,10
伏見 寅威,捕手,182,89,8,23
古川 裕大,捕手,184,91,8,27
郡司 裕也,捕手,180,89,8,30
進藤 勇也,捕手,182,91,8,33
吉田 賢吾,捕手,181,94,8,60
田宮 裕涼,捕手,175,84,8,64
梅林 優貴,捕手,171,85,8,98
上川畑 大悟,内野手,167,73,8,4
野村 佑希,内野手,187,95,8,5
中島 卓也,内野手,178,76,8,9
清宮 幸太郎,内野手,184,95,8,21
石井 一成,内野手,182,86,8,38
有薗 直輝,内野手,185,100,8,39
水野 達稀,内野手,171,76,8,43
阪口 樂,内野手,187,97,8,44
若林 晃弘,内野手,180,79,8,49
山縣 秀,内野手,176,80,8,54
細川 凌平,内野手,174,78,8,56
奈良間 大己,内野手,172,75,8,58
明瀬 諒介,内野手,183,92,8,65
松本 剛,外野手,180,84,8,7
淺間 大基,外野手,183,84,8,8
宮崎 一樹,外野手,184,86,8,36
五十幡 亮汰,外野手,171,67,8,50
水谷 瞬,外野手,193,100,8,53
今川 優馬,外野手,177,92,8,61
万波 中正,外野手,192,101,8,66
星野 ひので,外野手,182,86,8,68
レイエス,外野手,196,135,8,99
加藤 大和,投手,190,87,8,113
松本 遼大,投手,188,97,8,114
清宮 虎多朗,投手,190,99,8,115
川勝 空人,投手,180,88,8,121
澁谷 純希,投手,182,87,8,122
中山 晶量,投手,188,86,8,126
山本 晃大,投手,186,92,8,128
安西 叶翔,投手,186,94,8,154
北浦 竜次,投手,184,103,8,163
マイカ与那嶺,捕手,190,99,8,150
濵田 泰希,内野手,189,83,8,111
平田 大樹,外野手,181,72,8,112
藤田 大清,外野手,187,85,8,125
山口 アタル,外野手,179,89,8,127
