name,position,height,weight,team_id,uniform_number
田中 将大,投手,188,97,1,11
大勢,投手,183,90,1,15
西舘 勇陽,投手,185,79,1,17
山﨑 伊織,投手,181,81,1,19
戸郷 翔征,投手,187,85,1,20
今村 信貴,投手,180,90,1,26
高橋 礼,投手,187,90,1,28
グリフィン,投手,190,102,1,29
近藤 大亮,投手,177,80,1,30
赤星 優志,投手,175,82,1,31
ケラー,投手,193,92,1,33
馬場 皐輔,投手,180,97,1,36
中川 皓太,投手,183,86,1,41
田中 瑛斗,投手,184,84,1,45
又木 鉄平,投手,182,92,1,46
森田 駿哉,投手,185,88,1,47
田中 千晴,投手,189,85,1,48
バルドナード,投手,196,122,1,49
高梨 雄平,投手,175,86,1,53
宮原 駿介,投手,174,85,1,57
船迫 大雅,投手,174,80,1,58
横川 凱,投手,190,98,1,62
泉 圭輔,投手,188,82,1,63
山田 龍聖,投手,183,82,1,64
石川 達也,投手,178,75,1,65
平内 龍太,投手,185,99,1,66
菊地 大稀,投手,186,89,1,68
石田 充冴,投手,192,87,1,90
堀田 賢慎,投手,186,88,1,91
マルティネス,投手,193,93,1,92
戸田 懐生,投手,170,75,1,95
井上 温大,投手,175,85,1,97
京本 眞,投手,189,88,1,99
甲斐 拓也,捕手,170,87,1,10
小林 誠司,捕手,178,86,1,22
大城 卓三,捕手,187,95,1,24
岸田 行倫,捕手,176,88,1,27
郡 拓也,捕手,179,88,1,37
山瀬 慎之助,捕手,177,89,1,67
喜多 隆介,捕手,179,93,1,94
湯浅 大,内野手,172,73,1,00
増田 大輝,内野手,172,68,1,0
吉川 尚輝,内野手,177,82,1,2
門脇 誠,内野手,171,76,1,5
坂本 勇人,内野手,186,86,1,6
石塚 裕惺,内野手,182,84,1,23
岡本 和真,内野手,186,100,1,25
浦田 俊輔,内野手,171,67,1,32
泉口 友汰,内野手,178,84,1,35
中山 礼都,内野手,182,82,1,40
リチャード,内野手,189,123,1,52
荒巻 悠,内野手,184,93,1,60
増田 陸,内野手,179,88,1,61
長野 久義,外野手,180,85,1,7
丸 佳浩,外野手,177,94,1,8
萩尾 匡也,外野手,180,85,1,12
キャベッジ,外野手,188,92,1,13
岡田 悠希,外野手,184,86,1,38
フルプ,外野手,193,99,1,39
ヘルナンデス,外野手,185,89,1,42
重信 慎之介,外野手,173,74,1,43
佐々木 俊輔,外野手,174,80,1,44
オコエ 瑠偉,外野手,185,100,1,50
浅野 翔吾,外野手,171,86,1,51
乙坂 智,外野手,183,83,1,54
若林 楽人,外野手,177,83,1,59
笹原 操希,外野手,180,86,1,69
三塚 琉生,外野手,182,93,1,96
鈴木 大和,外野手,173,73,1,98
三浦 克也,投手,179,80,1,12
堀江 正太郎,投手,187,88,1,14
鈴木 圭晋,投手,183,85,1,15
千葉 隆広,投手,174,82,1,16
木下 幹也,投手,185,95,1,18
園田 純規,投手,184,75,1,19
松井 颯,投手,178,83,1,21
田村 朋輝,投手,184,86,1,23
吉村 優聖歩,投手,181,84,1,26
富田 龍,投手,179,78,1,28
西川 歩,投手,169,76,1,29
吹田 志道,投手,188,84,1,30
森本 哲星,投手,175,77,1,34
ルシアーノ,投手,190,95,1,35
黄 錦豪,投手,184,77,1,41
グズマン,投手,189,90,1,42
鴨打 瑛二,投手,195,100,1,47
直江 大輔,投手,185,87,1,54
花田 侑樹,投手,181,74,1,63
代木 大和,投手,184,93,1,68
石田 隼都,投手,183,85,1,77
坂本 勇人,捕手,177,84,1,6
大津 綾也,捕手,175,77,1,10
亀田 啓太,捕手,185,97,1,22
坂本 達也,捕手,173,76,1,24
中田 歩夢,内野手,172,77,1,2
村山 源,内野手,179,66,1,4
田上 優弥,内野手,180,90,1,5
宇都宮 葵星,内野手,175,70,1,7
相澤 白虎,内野手,178,84,1,8
竹下 徠空,内野手,183,98,1,25
北村 流音,内野手,174,78,1,27
ティマ,外野手,194,106,1,13
平山 功太,外野手,185,82,1,33
大城 元,外野手,181,81,1,44
フェリス,外野手,200,127,1,49
舟越 秀虎,外野手,182,71,1,51
