name,position,height,weight,team_id,uniform_number
澤村 拓一,投手,184,105,9,11
石川 歩,投手,186,80,9,12
小島 和哉,投手,178,85,9,14
美馬 学,投手,169,75,9,15
種市 篤暉,投手,183,88,9,16
二木 康太,投手,190,85,9,18
唐川 侑己,投手,181,90,9,19
石川 柊太,投手,185,88,9,21
東妻 勇輔,投手,172,80,9,24
菊地 吏玖,投手,183,93,9,28
西野 勇士,投手,183,90,9,29
廣畑 敦也,投手,175,83,9,30
大谷 輝龍,投手,180,81,9,31
八木 彬,投手,180,94,9,33
高野 脩汰,投手,184,88,9,34
田中 晴也,投手,186,92,9,35
坂本 光士郎,投手,179,80,9,36
小野 郁,投手,175,78,9,37
西村 天裕,投手,177,92,9,40
一條 力真,投手,190,90,9,41
サモンズ,投手,193,106,9,42
岩下 大輝,投手,182,90,9,46
鈴木 昭汰,投手,175,80,9,47
中村 稔弥,投手,178,84,9,48
益田 直也,投手,179,80,9,52
木村 優人,投手,184,92,9,53
ボス,投手,186,97,9,54
中森 俊介,投手,182,90,9,56
河村 説人,投手,192,87,9,58
早坂 響,投手,176,70,9,59
横山 陸人,投手,180,90,9,60
坂井 遼,投手,178,78,9,62
廣池 康志郎,投手,185,85,9,64
澤田 圭佑,投手,178,96,9,66
吉川 悠斗,投手,185,82,9,91
国吉 佑樹,投手,196,106,9,92
ゲレーロ,投手,203,112,9,97
松川 虎生,捕手,178,98,9,2
田村 龍弘,捕手,172,81,9,27
佐藤 都志也,捕手,181,91,9,32
植田 将太,捕手,180,86,9,45
柿沼 友哉,捕手,180,86,9,55
寺地 隆成,捕手,177,82,9,65
池田 来翔,内野手,180,95,9,00
友杉 篤輝,内野手,171,70,9,4
安田 尚憲,内野手,188,100,9,5
藤岡 裕大,内野手,178,86,9,7
中村 奨吾,内野手,180,86,9,8
上田 希由翔,内野手,183,96,9,10
大下 誠一郎,内野手,171,89,9,39
石垣 雅海,内野手,181,88,9,43
宮崎 竜成,内野手,173,90,9,44
立松 由宇,内野手,177,82,9,49
小川 龍成,内野手,171,74,9,57
茶谷 健太,内野手,186,88,9,67
金田 優太,内野手,183,83,9,68
ソト,内野手,185,97,9,99
荻野 貴司,外野手,172,75,9,0
藤原 恭大,外野手,181,80,9,1
角中 勝也,外野手,180,85,9,3
西川 史礁,外野手,182,88,9,6
ポランコ,外野手,196,108,9,22
石川 慎吾,外野手,178,80,9,23
岡 大海,外野手,185,80,9,25
髙部 瑛斗,外野手,178,72,9,38
愛斗,外野手,177,92,9,50
山口 航輝,外野手,183,100,9,51
山本 大斗,外野手,180,88,9,61
和田 康士朗,外野手,185,77,9,63
アセベド,外野手,195,104,9,69
田中 楓基,投手,180,75,9,120
本前 郁也,投手,176,82,9,121
森 遼大朗,投手,180,87,9,122
秋山 正雲,投手,174,80,9,123
中村 亮太,投手,182,79,9,124
永島田 輝斗,投手,182,90,9,125
茨木 佑太,投手,187,93,9,131
長島 幸佑,投手,187,92,9,132
武内 涼太,投手,184,84,9,133
パラシオス,投手,184,82,9,139
富山 紘之進,捕手,181,70,9,137
勝又 琉偉,内野手,188,78,9,129
谷村 剛,内野手,177,85,9,130
松石 信八,内野手,175,75,9,134
髙野 光海,外野手,187,93,9,135
藤田 和樹,外野手,185,82,9,136
マーティン,外野手,188,95,9,138
