name,position,height,weight,team_id,uniform_number
アビラ,投手,180,95,5,11
石山 泰稚,投手,182,83,5,12
中村 優斗,投手,176,86,5,15
清水 昇,投手,180,95,5,17
奥川 恭伸,投手,184,82,5,18
石川 雅規,投手,167,73,5,19
木澤 尚文,投手,183,90,5,20
吉村 貢司郎,投手,183,85,5,21
星 知弥,投手,183,91,5,24
山野 太一,投手,173,81,5,26
松本 健吾,投手,180,83,5,28
小川 泰弘,投手,172,82,5,29
荘司 宏太,投手,172,90,5,30
田口 麗斗,投手,171,79,5,34
石原 勇輝,投手,180,87,5,35
ランバート,投手,188,94,5,39
高梨 裕稔,投手,188,94,5,40
矢崎 拓也,投手,176,99,5,41
山本 大貴,投手,184,98,5,43
大西 広樹,投手,175,92,5,44
小澤 怜史,投手,182,87,5,45
高橋 奎二,投手,180,83,5,47
金久保 優斗,投手,185,87,5,48
山下 輝,投手,188,98,5,49
原 樹理,投手,180,79,5,52
長谷川 宙輝,投手,176,86,5,53
坂本 拓己,投手,180,85,5,56
バウマン,投手,193,108,5,58
宮川 哲,投手,177,86,5,61
竹山 日向,投手,182,86,5,62
阪口 皓亮,投手,188,90,5,66
丸山 翔大,投手,194,90,5,68
下川 隼佑,投手,176,88,5,69
沼田 翔平,投手,175,80,5,71
青柳 晃洋,投手,183,83,5,99
古賀 優大,捕手,177,83,5,2
中村 悠平,捕手,176,79,5,27
松本 直樹,捕手,177,82,5,32
内山 壮真,捕手,172,76,5,33
矢野 泰二郎,捕手,178,82,5,57
鈴木 叶,捕手,181,81,5,65
中川 拓真,捕手,180,88,5,90
橋本 星哉,捕手,178,85,5,93
赤羽 由紘,内野手,176,83,5,00
山田 哲人,内野手,181,81,5,1
川端 慎吾,内野手,185,86,5,5
長岡 秀樹,内野手,175,82,5,7
茂木 栄五郎,内野手,173,78,5,8
宮本 丈,内野手,181,82,5,10
オスナ,内野手,188,106,5,13
西村 瑠伊斗,内野手,178,80,5,36
山野辺 翔,内野手,170,74,5,37
北村 拓己,内野手,181,90,5,38
北村 恵吾,内野手,182,90,5,50
田中 陽翔,内野手,183,88,5,54
村上 宗隆,内野手,188,97,5,55
武岡 龍世,内野手,179,77,5,60
伊藤 琉偉,内野手,180,78,5,67
並木 秀尊,外野手,170,72,5,0
西川 遥輝,外野手,181,82,5,3
丸山 和郁,外野手,174,80,5,4
塩見 泰隆,外野手,180,81,5,9
サンタナ,外野手,195,104,5,25
モイセエフ ニキータ,外野手,182,87,5,31
澤井 廉,外野手,180,94,5,42
太田 賢吾,外野手,186,87,5,46
濱田 太貴,外野手,177,81,5,51
増田 珠,外野手,179,85,5,63
岩田 幸宏,外野手,175,79,5,64
廣澤 優,投手,193,102,5,012
西舘 昂汰,投手,189,94,5,014
西濱 勇星,投手,181,80,5,016
翔聖,投手,188,81,5,017
鈴木 康平,投手,186,92,5,018
佐藤 琢磨,投手,184,86,5,019
松本 龍之介,捕手,176,81,5,022
澤野 聖悠,内野手,186,94,5,023
根岸 辰昇,内野手,180,95,5,025
髙野 颯太,内野手,176,90,5,026
