name,position,height,weight,team_id,uniform_number
ゲラ,投手,183,85,2,00
岩崎　優,投手,185,92,2,13
岩貞　祐太,投手,183,87,2,14
西　純矢,投手,184,98,2,15
西　勇輝,投手,181,83,2,16
伊原　陵人,投手,170,77,2,18
下村　海翔,投手,174,69,2,19
デュプランティエ,投手,193,103,2,20
工藤　泰成,投手,177,82,2,24
椎葉　剛,投手,183,89,2,26
伊藤　将司,投手,179,88,2,27
今朝丸　裕喜,投手,187,77,2,28
髙橋　遥人,投手,181,81,2,29
門別　啓人,投手,183,88,2,30
早川　太貴,投手,185,95,2,31
漆原　大晟,投手,182,84,2,34
才木　浩人,投手,189,92,2,35
畠　世周,投手,186,82,2,36
及川　雅貴,投手,184,84,2,37
ネルソン,投手,185,92,2,42
島本　浩也,投手,176,73,2,46
桐敷　拓馬,投手,179,93,2,47
茨木　秀俊,投手,183,87,2,48
大竹　耕太郎,投手,184,86,2,49
富田　蓮,投手,176,76,2,50
木下　里都,投手,183,90,2,54
石黒　佑弥,投手,180,85,2,63
岡留　英貴,投手,181,95,2,64
湯浅　京己,投手,183,82,2,65
津田　淳哉,投手,179,81,2,66
石井　大智,投手,175,80,2,69
ハートウィグ,投手,196,106,2,82
ドリス,投手,196,106,2,85
川原　陸,投手,186,92,2,92
佐藤　蓮,投手,189,105,2,98
ビーズリー,投手,191,102,2,99
梅野　隆太郎,捕手,173,77,2,2
坂本　誠志郎,捕手,176,79,2,12
榮枝　裕貴,捕手,180,86,2,39
町田　隼乙,捕手,186,88,2,43
長坂　拳弥,捕手,173,80,2,57
藤田　健斗,捕手,173,78,2,59
中川　勇斗,捕手,172,75,2,68
木浪　聖也,内野手,179,81,2,0
大山　悠輔,内野手,181,95,2,3
熊谷　敬宥,内野手,175,68,2,4
佐藤　輝明,内野手,187,95,2,8
渡邉　諒,内野手,178,86,2,25
糸原　健斗,内野手,175,81,2,33
小幡　竜平,内野手,184,78,2,38
戸井　零士,内野手,181,79,2,44
佐野　大陽,内野手,178,81,2,45
中野　拓夢,内野手,172,67,2,51
山田　脩也,内野手,177,70,2,52
百﨑　蒼生,内野手,179,74,2,56
植田　海,内野手,175,70,2,62
髙寺　望夢,内野手,178,76,2,67
原口　文仁,内野手,182,97,2,94
ヘルナンデス,内野手,193,102,2,95
森下　翔太,外野手,182,93,2,1
近本　光司,外野手,171,70,2,5
井上　広大,外野手,189,100,2,32
井坪　陽生,外野手,177,83,2,40
島田　海吏,外野手,176,74,2,53
楠本　泰史,外野手,180,85,2,55
前川　右京,外野手,176,86,2,58
小野寺　暖,外野手,183,82,2,60
豊田　寛,外野手,178,86,2,61
野口　恭佑,外野手,180,87,2,97
森木　大智,投手,184,94,2,120
鈴木　勇斗,投手,174,86,2,121
小川　一平,投手,183,84,2,122
松原　快,投手,180,91,2,123
伊藤　稜,投手,178,85,2,125
ベタンセス,投手,185,101,2,131
マルティネス,投手,190,94,2,132
嶋村　麟士朗,捕手,177,90,2,128
川﨑　俊哲,内野手,174,82,2,130
アルナエス,外野手,176,85,2,133
福島　圭音,外野手,171,70,2,126
コンスエグラ,外野手,190,93,2,134
